slope1,frequency1,slope0,frequency0
0.832531036,45.0,1.033581874,9.0
1.7651603080000002,144.0,1.965760422,19.0
2.6977895800000002,147.0,2.8979389700000002,27.0
3.6304188520000005,124.0,3.8301175179999998,56.0
4.563048124000001,152.0,4.762296065999999,85.0
5.4956773960000005,152.0,5.694474614,147.0
6.428306668000001,213.0,6.626653162,164.0
7.360935940000001,199.0,7.55883171,205.0
8.293565212,214.0,8.491010258,244.0
9.226194484000002,196.0,9.423188805999999,291.0
10.158823756000002,215.0,10.355367353999998,357.0
11.091453028000002,182.0,11.287545902,423.0
12.024082300000002,187.0,12.21972445,462.0
12.956711572000003,184.0,13.151902998,576.0
13.889340844000003,182.0,14.084081546,696.0
14.821970116000003,199.0,15.016260094,829.0
15.754599388000003,206.0,15.948438642,972.0
16.687228660000002,259.0,16.880617190000002,1038.0
17.619857932000002,270.0,17.812795738,1278.0
18.552487204000002,296.0,18.744974286,1456.0
19.485116476,283.0,19.677152834,1561.0
20.417745748,284.0,20.609331382,1697.0
21.35037502,326.0,21.541509930000004,1614.0
22.283004292,384.0,22.473688478,1516.0
23.215633564,401.0,23.405867026000003,1404.0
24.148262836,445.0,24.338045574,1291.0
25.080892108,449.0,25.270224122000002,1009.0
26.013521380000004,446.0,26.20240267,715.0
26.946150652000004,411.0,27.134581218,515.0
27.878779924000003,405.0,28.066759766000004,422.0
28.811409196000003,340.0,28.998938314,351.0
29.744038468000003,320.0,29.931116862000003,254.0
30.676667740000003,274.0,30.86329541,178.0
31.609297012000006,255.0,31.795473958000002,156.0
32.541926284000006,200.0,32.727652506,117.0
33.474555556000006,169.0,33.659831054,106.0
34.407184828000005,144.0,34.592009602000005,65.0
35.339814100000005,128.0,35.52418815,50.0
36.272443372000005,93.0,36.456366698,52.0
37.205072644000005,89.0,37.388545246,36.0
38.137701916000005,80.0,38.320723794,16.0
39.070331188000004,68.0,39.252902342,13.0
40.002960460000004,58.0,40.18508089,14.0
40.935589732000004,50.0,41.117259438000005,8.0
41.868219004000004,50.0,42.049437986,9.0
42.800848276,23.0,42.981616534,10.0
43.733477548,17.0,43.913795082,5.0
44.66610682,11.0,44.84597363,9.0
45.598736092,12.0,45.778152178,3.0
46.531365364,7.0,46.710330726,1.0
