slope1,frequency1,slope0,frequency0
0.08692950973158167,22712.0,0.08430997639824835,75917.0
0.260778225892745,43269.0,0.252919625892745,127603.0
0.43462694205390834,42871.0,0.4215292753872417,102410.0
0.6084756582150717,39040.0,0.5901389248817384,72015.0
0.7823243743762349,34565.0,0.758748574376235,51260.0
0.9561730905373983,30540.0,0.9273582238707316,40218.0
1.1300218066985617,27059.0,1.0959678733652285,32216.0
1.303870522859725,24188.0,1.264577522859725,26294.0
1.4777192390208882,21951.0,1.4331871723542218,22693.0
1.6515679551820515,20439.0,1.6017968218487182,20012.0
1.825416671343215,18961.0,1.770406471343215,18539.0
1.9992653875043782,18040.0,1.9390161208377117,17242.0
2.173114103665542,17421.0,2.1076257703322083,16136.0
2.3469628198267047,17057.0,2.2762354198267047,15354.0
2.5208115359878684,17062.0,2.4448450693212016,14438.0
2.6946602521490313,17241.0,2.6134547188156985,13343.0
2.868508968310195,17375.0,2.782064368310195,12662.0
3.042357684471358,17433.0,2.9506740178046917,11656.0
3.2162064006325215,17776.0,3.1192836672991886,11044.0
3.3900551167936843,18215.0,3.287893316793685,10089.0
3.563903832954848,17991.0,3.4565029662881814,9403.0
3.7377525491160117,17459.0,3.6251126157826783,9175.0
3.9116012652771746,17659.0,3.793722265277175,8748.0
4.085449981438338,17925.0,3.9623319147716716,8477.0
4.259298697599501,18018.0,4.130941564266168,8111.0
4.433147413760665,17895.0,4.299551213760665,7849.0
4.6069961299218285,18258.0,4.468160863255162,7674.0
4.780844846082991,18227.0,4.636770512749658,7537.0
4.954693562244154,18411.0,4.805380162244155,7172.0
5.128542278405318,18178.0,4.973989811738651,7092.0
5.3023909945664816,18221.0,5.142599461233148,7012.0
5.476239710727644,18064.0,5.311209110727646,7121.0
5.650088426888808,18224.0,5.479818760222141,7212.0
5.823937143049971,18267.0,5.648428409716638,7150.0
5.997785859211135,18511.0,5.817038059211136,7136.0
6.171634575372298,18418.0,5.985647708705631,7270.0
